Date,SPP,TL 1st Enc. (mm),Full Tag,11/7/2023,11/9/2023,3/19/2024,3/21/2024,11/4/2024,11/5/2024,3/18/2025,3/20/2025,11/3/2025,11/6/2025,,,,,
11/7/2023,LOC,173,989.001030620230,1,0,1,1,0,1,0,0,0,0,,,,,
11/7/2023,RBT,406,989.001030620231,1,0,1,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,361,989.001030620232,1,0,1,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,342,989.001030620233,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,155,989.001030620234,1,0,0,1,0,0,0,0,0,0,,,,,
11/7/2023,LOC,163,989.001030620235,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBT,381,989.001030620236,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,SRN,426,989.001030620237,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,201,989.001030620238,1,0,0,1,0,0,0,0,0,0,,,,,
11/7/2023,LOC,332,989.001030620239,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,SCN,122,989.001030620240,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBC,362,989.001030620241,1,0,1,0,0,0,0,0,0,0,,,,,
11/7/2023,RBT,399,989.001030620242,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,SRN,438,989.001030620243,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,391,989.001030620244,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,SRN,362,989.001030620245,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,378,989.001030620246,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,150,989.001030620247,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBT,335,989.001030620248,1,1,1,0,1,0,1,1,0,0,,,,,
11/7/2023,RBC,325,989.001030620249,1,0,0,0,0,1,0,0,0,0,,,,,
11/7/2023,LOC,408,989.001030620250,1,1,1,1,0,0,0,0,0,0,,,,,
11/7/2023,SRN,396,989.001030620251,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,SRN,350,989.001030620252,1,1,1,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,151,989.001030620253,1,0,0,1,1,1,1,1,0,0,,,,,
11/7/2023,RBC,352,989.001030620254,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,145,989.001030620255,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBT,455,989.001030620256,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,SRN,396,989.001030620257,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,272,989.001030620258,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,384,989.001030620259,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,382,989.001030620260,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,245,989.001030620261,1,1,0,0,0,0,0,0,1,0,,,,,
11/7/2023,RBC,249,989.001030620262,1,1,0,1,0,0,0,0,0,0,,,,,
11/7/2023,LOC,416,989.001030620263,1,0,1,1,0,1,1,1,0,0,,,,,
11/7/2023,LOC,379,989.001030620264,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,SRN,400,989.001030620265,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBC,313,989.001030620266,1,1,0,0,0,0,0,0,0,0,,,,,
3/19/2024,RBC,320,989.001030620266,0,0,1,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,402,989.001030620267,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBC,303,989.001030620268,1,1,0,1,0,0,0,0,0,0,,,,,
11/7/2023,RBT,141,989.001030620269,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBC,294,989.001030620270,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,282,989.001030620271,1,1,1,0,1,0,1,1,1,1,,,,,
11/7/2023,SRN,372,989.001030620272,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,163,989.001030620273,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,381,989.001030620274,1,1,1,1,1,0,0,0,0,0,,,,,
11/7/2023,RBT,330,989.001030620275,1,1,0,0,1,0,0,0,0,0,,,,,
11/7/2023,RBT,146,989.001030620276,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,SRN,448,989.001030620277,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,SRN,418,989.001030620278,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,385,989.001030620279,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,348,989.001030620280,1,1,1,0,0,0,1,1,0,0,,,,,
11/7/2023,LOC,375,989.001030620281,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,344,989.001030620282,1,0,0,0,1,0,0,0,0,0,,,,,
11/7/2023,LOC,451,989.001030620283,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,SRN,319,989.001030620284,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,422,989.001030620285,1,1,1,1,0,0,0,0,0,0,,,,,
11/7/2023,RBC,313,989.001030620286,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,301,989.001030620287,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,315,989.001030620288,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,306,989.001030620289,1,0,1,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,313,989.001030620290,1,1,1,1,0,0,0,0,0,0,,,,,
11/7/2023,LOC,408,989.001030620291,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,192,989.001030620292,1,0,0,0,0,1,0,0,0,0,,,,,
11/7/2023,LOC,257,989.001030620293,1,0,1,0,1,0,1,0,0,0,,,,,
11/7/2023,LOC,394,989.001030620294,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,241,989.001030620295,1,0,1,1,0,0,1,1,1,1,,,,,
11/7/2023,RBT,289,989.001030620296,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBT,391,989.001030620297,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,SRN,377,989.001030620298,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,SRN,384,989.001030620299,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBC,313,989.001030620300,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,410,989.001030620301,1,1,1,1,1,1,1,1,1,1,,,,,
11/7/2023,RBC,321,989.001030620302,1,0,0,1,0,0,0,0,0,0,,,,,
11/7/2023,LOC,362,989.001030620303,1,1,1,1,1,0,0,0,1,0,,,,,
11/7/2023,LOC,285,989.001030620304,1,1,1,1,0,0,0,0,0,0,,,,,
11/7/2023,LOC,262,989.001030620305,1,1,0,1,0,0,0,0,0,0,,,,,
11/7/2023,RBC,307,989.001030620306,1,1,1,1,0,0,0,0,0,0,,,,,
11/7/2023,SRN,423,989.001030620307,1,1,1,1,0,0,0,0,0,0,,,,,
11/7/2023,LOC,390,989.001030620308,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,349,989.001030620309,1,0,0,0,0,0,0,0,0,0,,,,,
