Dec Tag #,Species,Capture_History,LOC,RBT,SRN,RBC,RBS,SCN,LengthFall23,LengthSpring24,LengthFall24,LengthSpring25,LengthFall25,TL 1st Enc,Date 1st Enc,,,,,
989.001030620216,SRN,1000000000,0,0,1,0,0,0,422,424.94,424.59,428.67,431.72,422,11/7/2023,,,,,
989.001030620217,LOC,1100000000,1,0,0,0,0,0,399,402.22,408.7,413.15,421.01,399,11/7/2023,,,,,
989.001030620218,RBT,1111000000,0,1,0,0,0,0,450,456,446.29,449.88,446.37,456,11/7/2023,,,,,
989.001030620219,SCN,1000000000,0,0,0,0,0,1,95,102,199,208,279,95,11/7/2023,,,,,
989.001030620220,LOC,1000000000,1,0,0,0,0,0,362,365.67,383.15,388.18,403.77,362,11/7/2023,,,,,
989.001030620221,RBT,1100000000,0,1,0,0,0,0,384,387.4,398.35,403.03,414.02,378,11/5/2024,,,,,
989.001030620222,LOC,1010100000,1,0,0,0,0,0,140,143,237,245.36,305.17,140,11/7/2023,,,,,
989.001030620223,RBC,1000000000,0,0,0,1,0,0,341,344.92,368.65,374.01,393.99,341,11/7/2023,,,,,
989.001030620224,SRN,1100000000,0,0,1,0,0,0,366,369.62,385.92,390.88,405.63,366,11/7/2023,,,,,
989.001030620225,RBT,1011110000,0,1,0,0,0,0,327,327,345,350.9,378.03,327,11/7/2023,,,,,
989.001030620226,SRN,1100000000,0,0,1,0,0,0,367,370.61,386.61,391.56,406.1,367,11/7/2023,,,,,
989.001030620227,LOC,1100000000,1,0,0,0,0,0,360,363.69,381.77,386.83,402.84,360,11/7/2023,,,,,
989.001030620228,LOC,1011100000,1,0,0,0,0,0,273,270,307,313.77,352.39,273,11/7/2023,,,,,
989.001030620229,LOC,1100100000,1,0,0,0,0,0,240,245.15,330,336.24,367.91,240,11/7/2023,,,,,
989.001030620230,LOC,1011010000,1,0,0,0,0,0,173,174,272,279.56,328.78,173,11/7/2023,,,,,
989.001030620231,RBT,1010000000,0,1,0,0,0,0,406,406,411.34,415.73,422.79,406,11/7/2023,,,,,
989.001030620232,LOC,1010000000,1,0,0,0,0,0,361,368,384.78,389.77,404.87,361,11/7/2023,,,,,
989.001030620233,LOC,1000000000,1,0,0,0,0,0,342,345.91,369.34,374.69,394.45,342,11/7/2023,,,,,
989.001030620234,LOC,1001000000,1,0,0,0,0,0,155,157,237.29,245.65,305.37,155,11/7/2023,,,,,
989.001030620235,LOC,1100000000,1,0,0,0,0,0,163,169.08,245.74,253.9,311.06,163,11/7/2023,,,,,
989.001030620236,RBT,1000000000,0,1,0,0,0,0,381,384.44,396.27,401,412.62,381,11/7/2023,,,,,
989.001030620237,SRN,1100000000,0,0,1,0,0,0,426,428.9,427.35,431.37,433.59,426,11/7/2023,,,,,
989.001030620238,LOC,1001000000,1,0,0,0,0,0,201,204,270.15,277.75,327.53,201,11/7/2023,,,,,
989.001030620239,LOC,1000000000,1,0,0,0,0,0,332,336.03,362.44,367.94,389.79,332,11/7/2023,,,,,
989.001030620240,SCN,1000000000,0,0,0,0,0,1,122,129,217,226,292,122,11/7/2023,,,,,
989.001030620241,RBC,1010000000,0,0,0,1,0,0,362,365,382.69,387.72,403.46,362,11/7/2023,,,,,
989.001030620242,RBT,1100000000,0,1,0,0,0,0,399,402.22,408.7,413.15,421.01,399,11/7/2023,,,,,
989.001030620243,SRN,1100000000,0,0,1,0,0,0,438,440.75,435.63,439.47,439.18,438,11/7/2023,,,,,
989.001030620244,LOC,1000000000,1,0,0,0,0,0,391,394.32,403.18,407.75,417.28,391,11/7/2023,,,,,
989.001030620245,SRN,1100000000,0,0,1,0,0,0,362,365.67,383.15,388.18,403.77,362,11/7/2023,,,,,
989.001030620246,LOC,1000000000,1,0,0,0,0,0,378,381.48,394.2,398.98,411.23,378,11/7/2023,,,,,
989.001030620247,LOC,1000000000,1,0,0,0,0,0,150,156.24,236.76,245.13,305,150,11/7/2023,,,,,
989.001030620248,RBT,1110101100,0,1,0,0,0,0,335,340,360,367,389.15,335,11/7/2023,,,,,
989.001030620249,RBC,1000010000,0,0,0,1,0,0,325,329.12,325,331.36,364.54,325,11/7/2023,,,,,
989.001030620250,LOC,1111000000,1,0,0,0,0,0,408,410,414.14,418.46,424.68,408,11/7/2023,,,,,
989.001030620251,SRN,1100000000,0,0,1,0,0,0,396,399.26,406.63,411.13,419.61,396,11/7/2023,,,,,
989.001030620252,SRN,1110000000,0,0,1,0,0,0,350,355,375.7,380.89,398.74,350,11/7/2023,,,,,
989.001030620253,LOC,1001111100,1,0,0,0,0,0,151,155,257,260,315.27,151,11/7/2023,,,,,
989.001030620254,RBC,1100000000,0,0,0,1,0,0,352,355.79,376.25,381.43,399.11,352,11/7/2023,,,,,
989.001030620255,LOC,1000000000,1,0,0,0,0,0,145,151.3,233.31,241.75,302.68,145,11/7/2023,,,,,
989.001030620256,RBT,1100000000,0,1,0,0,0,0,455,457.55,447.37,450.94,447.1,455,11/7/2023,,,,,
